method,dataset,target,auc_mean,auc_std,accuracy_mean,accuracy_std,ap_mean,ap_std
rine,opensdid_global,Flux.1,0.89180750,0.00000000,0.50600000,0.00000000,0.87422536,0.00000000
rine,opensdid_global,Mean,0.93493870,0.00000000,0.57720000,0.00000000,,
npr,genimage,BigGAN,0.28027597,0.00000000,0.49666667,0.00000000,0.39038216,0.00000000
npr,genimage,ADM,0.36904821,0.00000000,0.49841667,0.00000000,0.40776842,0.00000000
npr,genimage,glide,0.42735400,0.00000000,0.50375000,0.00000000,0.46285965,0.00000000
npr,genimage,stable_diffusion_v_1_5,0.67855267,0.00000000,0.53912500,0.00000000,0.70837172,0.00000000
npr,genimage,VQDM,0.35242868,0.00000000,0.49816667,0.00000000,0.40727877,0.00000000
npr,genimage,wukong,0.67667904,0.00000000,0.54391667,0.00000000,0.70644138,0.00000000
npr,genimage,Midjourney,0.51039289,0.00000000,0.50141667,0.00000000,0.50258715,0.00000000
npr,genimage,Mean,0.47067592,0.00000000,0.51163690,0.00000000,,
npr,aigc_detection_benchmark,ProGAN,0.48411950,0.00000000,0.50050000,0.00000000,0.48747712,0.00000000
npr,aigc_detection_benchmark,StyleGAN,0.38582600,0.00000000,0.49950000,0.00000000,0.43198909,0.00000000
npr,aigc_detection_benchmark,BigGAN,0.44890600,0.00000000,0.49350000,0.00000000,0.45711502,0.00000000
npr,aigc_detection_benchmark,CycleGAN,0.68037300,0.00000000,0.52600000,0.00000000,0.68213233,0.00000000
npr,aigc_detection_benchmark,StarGAN,0.46427250,0.00000000,0.50000000,0.00000000,0.46740370,0.00000000
npr,aigc_detection_benchmark,GauGAN,0.38080100,0.00000000,0.49900000,0.00000000,0.42010031,0.00000000
npr,aigc_detection_benchmark,StyleGAN2,0.44621100,0.00000000,0.49900000,0.00000000,0.46219010,0.00000000
npr,aigc_detection_benchmark,WFIR,0.45276250,0.00000000,0.50000000,0.00000000,0.47317612,0.00000000
npr,aigc_detection_benchmark,ADM,0.36934450,0.00000000,0.50000000,0.00000000,0.40627778,0.00000000
npr,aigc_detection_benchmark,GLIDE,0.42490200,0.00000000,0.50200000,0.00000000,0.46067871,0.00000000
npr,aigc_detection_benchmark,Midjourney,0.51583600,0.00000000,0.50250000,0.00000000,0.51160828,0.00000000
npr,aigc_detection_benchmark,SD v1.4,0.68437500,0.00000000,0.54250000,0.00000000,0.71249538,0.00000000
npr,aigc_detection_benchmark,SD v1.5,0.70899950,0.00000000,0.54000000,0.00000000,0.73099357,0.00000000
npr,aigc_detection_benchmark,VQDM,0.36454550,0.00000000,0.49550000,0.00000000,0.41218515,0.00000000
npr,aigc_detection_benchmark,Wukong,0.66159300,0.00000000,0.54800000,0.00000000,0.70116031,0.00000000
npr,aigc_detection_benchmark,DALL-E2,0.38578700,0.00000000,0.50150000,0.00000000,0.45318100,0.00000000
npr,aigc_detection_benchmark,SDXL,0.50233950,0.00000000,0.50300000,0.00000000,0.52988073,0.00000000
npr,aigc_detection_benchmark,Mean,0.49182315,0.00000000,0.50897059,0.00000000,,
npr,aigi_holmes_p3,Janus,0.50498600,0.00000000,0.50050000,0.00000000,0.51562551,0.00000000
npr,aigi_holmes_p3,Janus-Pro-1B,0.43287250,0.00000000,0.50250000,0.00000000,0.47238737,0.00000000
npr,aigi_holmes_p3,Janus-Pro-7B,0.43739600,0.00000000,0.50000000,0.00000000,0.46041343,0.00000000
npr,aigi_holmes_p3,Show-o,0.45348000,0.00000000,0.50050000,0.00000000,0.45555058,0.00000000
npr,aigi_holmes_p3,LlamaGen,0.77683900,0.00000000,0.53900000,0.00000000,0.79935303,0.00000000
npr,aigi_holmes_p3,Infinity,0.51846800,0.00000000,0.50050000,0.00000000,0.51475985,0.00000000
npr,aigi_holmes_p3,VAR,0.49108400,0.00000000,0.50250000,0.00000000,0.52304530,0.00000000
npr,aigi_holmes_p3,PixArt-XL,0.61794600,0.00000000,0.49950000,0.00000000,0.59864473,0.00000000
npr,aigi_holmes_p3,SD3.5-L,0.41057150,0.00000000,0.49900000,0.00000000,0.43639874,0.00000000
npr,aigi_holmes_p3,FLUX,0.57817300,0.00000000,0.50450000,0.00000000,0.57980051,0.00000000
npr,aigi_holmes_p3,Mean,0.52218160,0.00000000,0.50485000,0.00000000,,
npr,opensdid_global,SD1.5,0.68986700,0.00000000,0.52850000,0.00000000,0.72123482,0.00000000
npr,opensdid_global,SD2.1,0.65531500,0.00000000,0.51350000,0.00000000,0.68068031,0.00000000
npr,opensdid_global,SDXL,0.47520650,0.00000000,0.50200000,0.00000000,0.50002604,0.00000000
npr,opensdid_global,SD3,0.57535750,0.00000000,0.50400000,0.00000000,0.56701012,0.00000000
npr,opensdid_global,Flux.1,0.50008350,0.00000000,0.50050000,0.00000000,0.49592744,0.00000000
npr,opensdid_global,Mean,0.57916590,0.00000000,0.50970000,0.00000000,,
