method,dataset,target,auc_mean,auc_sample_std,original_accuracy_mean,original_accuracy_sample_std,released_exact_unsupervised_label_balanced_accuracy_mean,released_exact_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_unsupervised_label_balanced_accuracy_mean,paper_intended_100_shot_unsupervised_label_balanced_accuracy_sample_std,paper_intended_100_shot_supervised_accuracy_mean,paper_intended_100_shot_supervised_accuracy_sample_std,strict_label_free_random_100_shot_heldout_accuracy_mean,strict_label_free_random_100_shot_heldout_accuracy_sample_std,full_target_transductive_unsupervised_accuracy_mean,full_target_transductive_unsupervised_accuracy_sample_std,full_target_label_oracle_accuracy_mean,full_target_label_oracle_accuracy_sample_std,strict_label_free_accuracy_delta_mean,strict_label_free_accuracy_delta_sample_std
univfd,aigc_detection_benchmark,GLIDE,0.8273675,0.0014375480861522954,0.60625,0.001060660171779783,0.7589999999999999,0.0007071067811865481,0.7570749999999999,0.0016617009357884393,0.7543500000000001,0.001272792206135724,0.7571315789473685,0.0021213203435596446,0.76,0.0014142135623730963,0.7617499999999999,0.00035355339059331333,0.15088157894736842,0.0031819805153394274
univfd,aigc_detection_benchmark,Midjourney,0.86676125,0.0008319111280659121,0.6785,0.0,0.7867500000000001,0.003181980515339506,0.78535,0.0007778174593052736,0.7846,0.002333452377915664,0.7860789473684211,0.0010048359522124137,0.7869999999999999,0.0007071067811865481,0.791,0.0014142135623730963,0.10757894736842105,0.0010048359522124137
univfd,aigc_detection_benchmark,SD v1.4,0.9472832499999999,0.0006926110921721603,0.7875000000000001,0.0021213203435596446,0.8755,0.002828427124746114,0.875875,0.0003889087296525583,0.875875,3.535533905932348e-05,0.8755526315789474,0.00018608073189112665,0.877,0.0014142135623730963,0.8787499999999999,0.001060660171779783,0.08805263157894733,0.0023074010754507712
univfd,aigc_detection_benchmark,SD v1.5,0.9549375,0.0006979143930310942,0.7785,0.0021213203435596446,0.88525,0.0010606601717798615,0.883775,0.0011667261889579104,0.883575,0.001166726188957832,0.8831578947368421,0.0018608073189118944,0.88525,0.00035355339059323483,0.88775,0.00035355339059331333,0.10465789473684212,0.003982127662471539
univfd,aigc_detection_benchmark,VQDM,0.6753155,0.001175211470332079,0.518,0.0021213203435596446,0.63425,0.00035355339059323483,0.631375,0.0006010407640084992,0.6267499999999999,0.0037476659402886033,0.6325789473684211,0.0011164843913471524,0.6345,0.0014142135623730963,0.639,0.0014142135623730963,0.11457894736842111,0.003237804734906797
univfd,aigc_detection_benchmark,Wukong,0.9098179999999999,0.000778524566086402,0.69025,0.00035355339059331333,0.82975,0.001767766952966331,0.8306250000000001,0.00031819805153398986,0.8309249999999999,0.0003889087296525583,0.829078947368421,0.0019724557580467904,0.831,0.0028284271247461927,0.83475,0.0010606601717798615,0.13882894736842105,0.001618902367453477
univfd,aigc_detection_benchmark,DALL-E2,0.75732425,0.002930604054627643,0.5845,0.0,0.688,0.0007071067811865481,0.68855,0.0019091883092037035,0.686275,0.0045608387386532,0.6887105263157894,0.003237804734906797,0.6877500000000001,0.002474873734152879,0.6925,0.0014142135623730963,0.10421052631578942,0.003237804734906797
univfd,aigc_detection_benchmark,SDXL,0.8864542499999999,0.002379767872083341,0.688,0.00424264068711921,0.7925,0.0014142135623730963,0.7928,0.003111269837220702,0.792875,0.002015254326381674,0.7939736842105263,0.00413099224798455,0.795,0.004242640687119289,0.7995,0.0,0.10597368421052628,0.00011164843913466029
univfd,aigi_holmes_p3,Mean,0.8785733499999999,0.0008545385450639828,0.6817249999999999,0.0002474873734152644,0.8061499999999999,0.0019091883092037035,0.8061525,0.001219759197546778,0.80507,0.0006788225099390579,0.8047236842105263,0.0003014507856637633,0.807725,0.002015254326381674,0.8115749999999999,0.0010960155108391849,0.12299868421052634,5.396341224849895e-05
univfd,aigi_holmes_p3,Janus,0.72168075,0.0016040717331216878,0.54375,0.00035355339059331333,0.656,0.0028284271247461927,0.657625,0.0027930717856867906,0.654925,0.0032173358543988295,0.656,0.0019352396116684393,0.656,0.0028284271247461927,0.6665,0.0014142135623730963,0.11225000000000002,0.0022887930022617528
